product_ndc,generic_name,labeler_name,brand_name,active_ingredients,finished,packaging,listing_expiration_date,openfda,marketing_category,dosage_form,spl_id,product_type,route,marketing_start_date,product_id,application_number,brand_name_base,pharm_class,marketing_end_date,brand_name_suffix,dea_schedule
75712-116,"Avobenzone, Homosalate, Octisalate, Octocrylene",DOLLAR GENERAL CORPORATION,Sunscreen,"[{'name': 'AVOBENZONE', 'strength': '30 mg/g'}, {'name': 'HOMOSALATE', 'strength': '150 mg/g'}, {'name': 'OCTISALATE', 'strength': '50 mg/g'}, {'name': 'OCTOCRYLENE', 'strength': '100 mg/g'}]",True,"[{'package_ndc': '75712-116-14', 'description': '156 g in 1 CAN (75712-116-14)', 'marketing_start_date': '20220817', 'sample': False}]",20251231,"{'manufacturer_name': ['DOLLAR GENERAL CORPORATION'], 'spl_set_id': ['c89c9ad3-5b05-4ad7-b491-b02abb7a164c'], 'is_original_packager': [True], 'unii': ['G63QQF2NOX', 'V06SV4M95S', '4X49Y0596W', '5A68WGF6WM']}",OTC MONOGRAPH DRUG,SPRAY,2280bf8c-1970-77fc-e063-6394a90a589f,HUMAN OTC DRUG,['TOPICAL'],20220817,75712-116_2280bf8c-1970-77fc-e063-6394a90a589f,M020,Sunscreen,,,,
73590-0008,Panax Ginseng Root Extract,"NOKSIBCHO cosmetic Co., Ltd.",THE SKINHOUSE WRINKLE SUPREME TONER,"[{'name': 'ASIAN GINSENG', 'strength': '.5 g/100mL'}]",True,"[{'package_ndc': '73590-0008-1', 'description': '130 mL in 1 BOTTLE (73590-0008-1)', 'marketing_start_date': '20200122', 'sample': False}]",20241231,"{'manufacturer_name': ['NOKSIBCHO cosmetic Co., Ltd.'], 'spl_set_id': ['9d52ec6d-72af-112f-e053-2995a90a1ac3'], 'is_original_packager': [True], 'upc': ['8809080822821'], 'unii': ['CUQ3A77YXI']}",UNAPPROVED DRUG OTHER,LIQUID,9d530096-d5ba-5c06-e053-2995a90a60d9,HUMAN OTC DRUG,['TOPICAL'],20200122,73590-0008_9d530096-d5ba-5c06-e053-2995a90a60d9,,THE SKINHOUSE WRINKLE SUPREME TONER,,,,
73716-003,Lidocaine HCL,"Good Clean Love, Inc.",Relief Gel,"[{'name': 'LIDOCAINE HYDROCHLORIDE', 'strength': '4 g/100mL'}]",True,"[{'package_ndc': '73716-003-05', 'description': '5 mL in 1 POUCH (73716-003-05)', 'marketing_start_date': '20220408', 'sample': False}, {'package_ndc': '73716-003-29', 'description': '1 TUBE in 1 CARTON (73716-003-29)  / 29 mL in 1 TUBE', 'marketing_start_date': '20220408', 'sample': False}]",20241231,"{'manufacturer_name': ['Good Clean Love, Inc.'], 'rxcui': ['1010077'], 'spl_set_id': ['e5fa2265-ccb7-750c-e053-2995a90aa51e'], 'is_original_packager': [True], 'unii': ['V13007Z41A']}",OTC MONOGRAPH NOT FINAL,GEL,e5fc72e0-46a2-6b49-e053-2995a90af1c0,HUMAN OTC DRUG,['TOPICAL'],20220408,73716-003_e5fc72e0-46a2-6b49-e053-2995a90af1c0,part348,Relief Gel,"['Amide Local Anesthetic [EPC]', 'Amides [CS]', 'Antiarrhythmic [EPC]', 'Local Anesthesia [PE]']",,,
74458-045,Zinc Oxide,"Guangzhou Yilong Cosmetics Co., Ltd",NYU Langone Health Lip Balm,"[{'name': 'ZINC OXIDE', 'strength': '.2 g/100g'}]",True,"[{'package_ndc': '74458-045-01', 'description': '5 g in 1 TUBE (74458-045-01)', 'marketing_start_date': '20241012', 'sample': False}]",20251231,"{'manufacturer_name': ['Guangzhou Yilong Cosmetics Co., Ltd'], 'spl_set_id': ['2444c361-cd40-2b48-e063-6394a90a7dcc'], 'is_original_packager': [True], 'unii': ['SOI2LOH54Z']}",OTC MONOGRAPH DRUG,LIPSTICK,2444c361-cd41-2b48-e063-6394a90a7dcc,HUMAN OTC DRUG,['TOPICAL'],20241012,74458-045_2444c361-cd41-2b48-e063-6394a90a7dcc,M020,NYU Langone Health Lip Balm,,,,
74934-037,BENZALKONIUM CHLORIDE,"Zhejiang iColor Biotech Co., Ltd",al-SHIELDS Antibacterial Hand Wipes with Fresh Aloe Scent,"[{'name': 'BENZALKONIUM CHLORIDE', 'strength': '1 mg/g'}]",True,"[{'package_ndc': '74934-037-01', 'description': '10 PATCH in 1 BAG (74934-037-01)  / 4 g in 1 PATCH', 'marketing_start_date': '20200728', 'marketing_end_date': '20260131', 'sample': False}, {'package_ndc': '74934-037-02', 'description': '20 PATCH in 1 BAG (74934-037-02)  / 4 g in 1 PATCH', 'marketing_start_date': '20200728', 'marketing_end_date': '20260131', 'sample': False}, {'package_ndc': '74934-037-03', 'description': '30 PATCH in 1 BAG (74934-037-03)  / 4 g in 1 PATCH', 'marketing_start_date': '20200904', 'marketing_end_date': '20260131', 'sample': False}]",,"{'manufacturer_name': ['Zhejiang iColor Biotech Co., Ltd'], 'rxcui': ['1038856'], 'spl_set_id': ['f4b3e2e9-f4c0-4d61-a406-be1471306443'], 'is_original_packager': [True], 'upc': ['0191730354522', '0191730360042', '0191730354539'], 'unii': ['F5UM2KM3W7']}",OTC MONOGRAPH DRUG,CLOTH,0fa07428-18c1-8397-e063-6294a90acabd,HUMAN OTC DRUG,['TOPICAL'],20200728,74934-037_0fa07428-18c1-8397-e063-6294a90acabd,505G(a)(3),al-SHIELDS Antibacterial Hand Wipes with Fresh Aloe Scent,,20260131,,
72476-971,Sodium Fluoride,"RETAIL BUSINESS SERVICES, LLC",Anticavity,"[{'name': 'SODIUM FLUORIDE', 'strength': '.2 mg/mL'}]",True,"[{'package_ndc': '72476-971-86', 'description': '1000 mL in 1 BOTTLE (72476-971-86)', 'marketing_start_date': '20221208', 'sample': False}]",20251231,"{'manufacturer_name': ['RETAIL BUSINESS SERVICES, LLC'], 'rxcui': ['313029'], 'spl_set_id': ['3954edfd-f7f1-4218-9ee2-23f5b3661b4e'], 'is_original_packager': [True], 'unii': ['8ZYQ1474W7']}",OTC MONOGRAPH DRUG,RINSE,217aa3f3-f6a0-c173-e063-6294a90a450a,HUMAN OTC DRUG,['ORAL'],20221208,72476-971_217aa3f3-f6a0-c173-e063-6294a90a450a,M021,Anticavity,,,,
72572-052,CALCIUM CHLORIDE,"Civica, Inc.",Calcium Chloride,"[{'name': 'CALCIUM CHLORIDE', 'strength': '100 mg/mL'}]",True,"[{'package_ndc': '72572-052-10', 'description': '10 VIAL, GLASS in 1 BOX (72572-052-10)  / 10 mL in 1 VIAL, GLASS (72572-052-01)', 'marketing_start_date': '20210402', 'sample': False}]",20251231,"{'manufacturer_name': ['Civica, Inc.'], 'rxcui': ['828525'], 'spl_set_id': ['7fa5d8e8-0610-4892-907e-5ef630a56e76'], 'is_original_packager': [True], 'unii': ['M4I0D6VV5M']}",ANDA,"INJECTION, SOLUTION",ab44b083-53f8-4e2f-9b26-2b71c57e872b,HUMAN PRESCRIPTION DRUG,['INTRAVENOUS'],20210402,72572-052_ab44b083-53f8-4e2f-9b26-2b71c57e872b,ANDA209088,Calcium Chloride,"['Blood Coagulation Factor [EPC]', 'Calcium [CS]', 'Cations', 'Divalent [CS]', 'Increased Coagulation Factor Activity [PE]', 'Phosphate Binder [EPC]', 'Phosphate Chelating Activity [MoA]']",,,
72603-156,Olanzapine,NorthStar RxLLC,Olanzapine,"[{'name': 'OLANZAPINE', 'strength': '7.5 mg/1'}]",True,"[{'package_ndc': '72603-156-01', 'description': '30 TABLET, FILM COATED in 1 BOTTLE (72603-156-01)', 'marketing_start_date': '20230705', 'sample': False}]",20251231,"{'manufacturer_name': ['NorthStar RxLLC'], 'rxcui': ['200034', '283639', '312077', '312078', '312079', '314154'], 'spl_set_id': ['ea3259d5-36ee-4ac9-b849-9625626e2187'], 'is_original_packager': [True], 'upc': ['0372603155013', '0372603157024', '0372603159035', '0372603155037', '0372603157031', '0372603157017', '0372603159011', '0372603158014', '0372603156010', '0372603154023', '0372603155020', '0372603159028'], 'nui': ['N0000175430'], 'pharm_class_epc': ['Atypical Antipsychotic [EPC]'], 'unii': ['N7U69T4SZR']}",ANDA,"TABLET, FILM COATED",bfaf4fef-69a8-40e1-b995-899044ad4a39,HUMAN PRESCRIPTION DRUG,['ORAL'],20230705,72603-156_bfaf4fef-69a8-40e1-b995-899044ad4a39,ANDA202862,Olanzapine,['Atypical Antipsychotic [EPC]'],,,
72407-404,"TITANIUM DIOXIDE, ZINC OXIDE","Pur-Lisse Beauty, LLC",PURLISSE AGELESS GLOW BB SPF 40,"[{'name': 'TITANIUM DIOXIDE', 'strength': '9.95 g/100mL'}, {'name': 'ZINC OXIDE', 'strength': '7 g/100mL'}]",True,"[{'package_ndc': '72407-404-11', 'description': '1 TUBE in 1 BOX (72407-404-11)  / 40 mL in 1 TUBE', 'marketing_start_date': '20221228', 'sample': False}]",20251231,"{'manufacturer_name': ['Pur-Lisse Beauty, LLC'], 'spl_set_id': ['f0fbd0ba-05e1-134e-e053-2a95a90a9100'], 'is_original_packager': [True], 'unii': ['15FIX9V2JP', 'SOI2LOH54Z']}",OTC MONOGRAPH DRUG,CREAM,0f037d83-ecbe-e869-e063-6394a90aa95d,HUMAN OTC DRUG,['TOPICAL'],20221228,72407-404_0f037d83-ecbe-e869-e063-6394a90aa95d,M020,PURLISSE AGELESS GLOW BB,"['Copper Absorption Inhibitor [EPC]', 'Decreased Copper Ion Absorption [PE]']",,SPF 40,
72628-103,Menthol,Boston Nutraceutical Production SL,Honey Lemon Cough Drops,"[{'name': 'MENTHOL', 'strength': '7.6 mg/1'}]",True,"[{'package_ndc': '72628-103-01', 'description': '150 PASTILLE in 1 BAG (72628-103-01)', 'marketing_start_date': '20190326', 'sample': False}]",20251231,"{'manufacturer_name': ['Boston Nutraceutical Production SL'], 'rxcui': ['359751'], 'spl_set_id': ['856f0bd8-354b-a002-e053-2a91aa0a8022'], 'is_original_packager': [True], 'unii': ['L7T10EIP3A']}",OTC MONOGRAPH DRUG,PASTILLE,23e63ee9-8f9e-62ff-e063-6394a90a6508,HUMAN OTC DRUG,['ORAL'],20190326,72628-103_23e63ee9-8f9e-62ff-e063-6394a90a6508,M012,Honey Lemon Cough Drops,,,,
